"criterion","rep","param","n_param","n_covered","pct","mean_width"
"Q4",1,"beta",30,21,70,1.80984452513287
"Q4",1,"dist",6000,4615,76.9166666666667,3.39278592295272
"Q4",1,"OVERALL",6180,4766,77.1197411003236,3.3835598427066
"Q4",2,"alpha",150,131,87.3333333333333,3.35463893376889
"Q4",2,"beta",30,22,73.3333333333333,1.81529029253536
"Q4",2,"dist",6000,4618,76.9666666666667,3.39943502619999
"Q4",2,"OVERALL",6180,4771,77.2006472491909,3.39065771942416
"Q4",3,"alpha",150,130,86.6666666666667,3.33915221705191
"Q4",3,"beta",30,22,73.3333333333333,1.81816393360152
"Q4",3,"dist",6000,4606,76.7666666666667,3.39095138316475
"Q4",3,"OVERALL",6180,4758,76.9902912621359,3.38205923131947
"Q4",4,"alpha",150,130,86.6666666666667,3.35467601971653
"Q4",4,"beta",30,21,70,1.81333942127083
"Q4",4,"dist",6000,4589,76.4833333333333,3.39115816300766
"Q4",4,"OVERALL",6180,4740,76.6990291262136,3.38261335981255
"Q4",5,"alpha",150,131,87.3333333333333,3.34622939331961
"Q4",5,"beta",30,22,73.3333333333333,1.80945661594119
"Q4",5,"dist",6000,4605,76.75,3.38761137563902
"Q4",5,"OVERALL",6180,4758,76.9902912621359,3.37894601315701
"Q4",6,"alpha",150,131,87.3333333333333,3.35245467960988
"Q4",6,"beta",30,21,70,1.81064434427505
"Q4",6,"dist",6000,4602,76.7,3.39328731602241
"Q4",6,"OVERALL",6180,4754,76.9255663430421,3.38461349974178
"Q4",7,"alpha",150,130,86.6666666666667,3.35055313326929
"Q4",7,"beta",30,22,73.3333333333333,1.81050251160097
"Q4",7,"dist",6000,4602,76.7,3.39408973254337
"Q4",7,"OVERALL",6180,4754,76.9255663430421,3.38534570236224
"Q4",8,"alpha",150,130,86.6666666666667,3.34930580434311
"Q4",8,"beta",30,21,70,1.80484046817746
"Q4",8,"dist",6000,4596,76.6,3.3860308862858
"Q4",8,"OVERALL",6180,4747,76.8122977346278,3.37746381916045
"Q4",9,"alpha",150,130,86.6666666666667,3.34885603612621
"Q4",9,"beta",30,22,73.3333333333333,1.81868870514061
"Q4",9,"dist",6000,4610,76.8333333333333,3.39333751111493
"Q4",9,"OVERALL",6180,4762,77.0550161812298,3.38461393742115
"Q4",10,"alpha",150,130,86.6666666666667,3.34968973595021
"Q4",10,"beta",30,23,76.6666666666667,1.81692873887743
"Q4",10,"dist",6000,4615,76.9166666666667,3.39841008828774
"Q4",10,"OVERALL",6180,4768,77.1521035598706,3.38955046153484
